family,dataset_id,model,selector,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,validation_accuracy_mean,validation_accuracy_std,best_epoch_mean,best_epoch_std,development_feature_selection_seconds_mean,development_feature_selection_seconds_std,final_feature_selection_seconds_mean,final_feature_selection_seconds_std,development_training_seconds_mean,development_training_seconds_std,final_training_seconds_mean,final_training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std
gcn,imdb,fasttext_residual_word_gcn,none,5,0.737,0.04177319714841084,0.7339174587565775,0.04503520729548622,0.7351448332369385,0.04442206902663285,0.795,0.04772607021092117,56.2,35.8706007755655,0.008396600000560283,0.00043792233494015107,0.009689300018362702,0.0008144892382134364,1.858300539990887,0.7803173560245591,0.8561668800073676,0.5387183333931245,0.005938699992839247,0.00041768805817246423
classic,imdb,fasttext_wa,df,5,0.796,0.026786190471957717,0.795534131079495,0.02674162250359517,0.7960925149411991,0.026652782467306593,0.795,0.044331453594234634,47.0,19.685019685029527,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,5.768638599998667,1.0986331072695628,3.8944973000034224,1.2070459140699352,0.006806719998712652,0.003215677156838646
classic,imdb,fasttext_wa,dfs,5,0.807,0.015247950681976864,0.8060465006249037,0.015274051365168935,0.8055837912087912,0.015174210021660478,0.8083333333333333,0.040397332145136064,25.0,16.015617378046965,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,3.1845157200004905,0.9062808220355895,1.7018875000008848,1.0633145553771284,0.004563119995873421,0.0011724088087644734
classic,imdb,fasttext_wa,ig,5,0.8130000000000001,0.03438749772809878,0.8125638341236275,0.034642331421636766,0.8126350732600732,0.03514781572646411,0.8099999999999999,0.027888667551135844,30.6,15.274161188098022,0.06798234000161756,0.00269827517847116,0.07563973999931477,0.005459470581051371,3.959023440000601,1.683853501545067,2.358080440002959,1.4802649654029791,0.005755739999585785,0.0024868093444846157
classic,imdb,fasttext_wa,none,5,0.8,0.024494897427831758,0.7997189675768023,0.02415226182065554,0.80038497686524,0.023667670190568268,0.8166666666666667,0.04823265376162596,33.4,20.489021450523204,0.010411880002357066,0.0013370709511120742,0.010283620000700466,0.0008975037174417797,4.2001220600010125,1.412399713182646,2.594528939999873,1.5365009725825394,0.0044250200036913155,0.0006393282448584904
classic,imdb,random_cnn,df,5,0.788,0.027294688127912352,0.7866397827527807,0.02731563531229906,0.7869695874301137,0.02757870657061102,0.8,0.033850160019316504,39.4,16.133815419794537,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,14.867232479999075,4.557946476674643,9.787469899997813,4.576361091011467,0.01001601999741979,0.0033062627302634096
classic,imdb,random_cnn,dfs,5,0.782,0.02464751508773246,0.780257213090412,0.024660934576343593,0.7811293859649123,0.02384987918673928,0.7883333333333333,0.0447213595499958,37.8,20.32732151563506,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,12.0935518400016,5.485997987109905,7.670196839998243,4.518659649156121,0.008893120000720955,0.0008778661147644133
classic,imdb,random_cnn,ig,5,0.784,0.017818529681205477,0.7827548388759455,0.0199902327509629,0.7837567476383266,0.02033013854456264,0.8083333333333333,0.02041241452319317,26.6,11.970797801316335,0.06798234000161756,0.00269827517847116,0.07563973999931477,0.005459470581051371,9.776829060001182,2.0194110885658216,5.390230859996518,2.4079172157696487,0.008968600002117456,0.0016702854557092165
classic,imdb,random_cnn,none,5,0.753,0.02079663434308544,0.7479725466598864,0.020710738321011845,0.74891832947754,0.02029346760164839,0.77,0.03845993586404776,29.0,12.144957801491119,0.010411880002357066,0.0013370709511120742,0.010283620000700466,0.0008975037174417797,11.80268575999944,2.6550482531970596,7.009582079999381,2.859206464750596,0.010571440003695897,0.003373261839040411
classic,imdb,random_lstm,df,5,0.581,0.02434132288927616,0.5797683818971658,0.025229735691884327,0.5806512675920571,0.025100912682738664,0.6416666666666666,0.030618621784789714,16.0,14.38749456993816,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,28.446900599999935,8.140606322391513,12.30886781999725,10.559448516876735,0.03847637999861035,0.004474120131093922
classic,imdb,random_lstm,dfs,5,0.735,0.032596012026013275,0.7346695896883267,0.03246542347654444,0.7352770146520147,0.032382217429809394,0.7433333333333334,0.04099457958749613,24.6,22.54550953072474,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,25.839363879995652,12.92270820154252,13.768334219997632,12.43495424665026,0.02648248000186868,0.004578447113114974
classic,imdb,random_lstm,ig,5,0.748,0.021965882636488816,0.7473994027799393,0.022344729512870934,0.7473542028147291,0.022525594219191418,0.755,0.04844813951249545,24.0,8.888194417315589,0.06798234000161756,0.00269827517847116,0.07563973999931477,0.005459470581051371,28.069619879999664,7.261230984043353,15.048874000002979,5.376702238479813,0.027860719998716376,0.00518495223233131
classic,imdb,random_lstm,none,5,0.573,0.057727809589486416,0.570625652075509,0.05890247548332878,0.572975226527858,0.058133085246118994,0.6283333333333333,0.04772607021092119,14.2,14.411800720243116,0.010411880002357066,0.0013370709511120742,0.010283620000700466,0.0008975037174417797,29.184707100002562,11.442453591660662,11.324846559995786,11.537566342119993,0.039482320001116025,0.008879479887413366
classic,imdb,random_wa,df,5,0.754,0.03489269264473584,0.752931291054551,0.034152801989277115,0.7527593021014074,0.03395020618749509,0.7883333333333333,0.03312434485725301,53.8,37.38582619121851,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,6.253293680000934,3.5369927174305413,5.085996420000447,4.0677047812155225,0.005581339995842427,0.0012146681809155858
classic,imdb,random_wa,dfs,5,0.794,0.02103568396796262,0.792264111022772,0.022309432251730585,0.792032967032967,0.02241123072857353,0.7999999999999999,0.03726779962499649,39.4,13.939153489362258,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,4.002315140000428,1.045640038887816,2.7358113199967193,1.13493464405461,0.005151499997009523,0.0028190231060139584
