family,dataset_id,model,selector,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
gcn,dbpedia,fasttext_residual_word_gcn,dfs,5,0.011095680422313592,0.02049925660292333,4,0,1
gcn,dbpedia,fasttext_residual_word_gcn,ig,5,-0.0120654789097,0.0076151795695030096,0,0,5
classic,dbpedia,fasttext_wa,df,5,-0.02212588193492717,0.016127048793968143,0,0,5
classic,dbpedia,fasttext_wa,dfs,5,0.007010050251256272,0.01306550855966409,3,0,2
classic,dbpedia,fasttext_wa,ig,5,-0.009050302015126133,0.010891877089286265,0,2,3
classic,dbpedia,random_cnn,df,5,0.024151312116136237,0.014889528417891217,5,0,0
classic,dbpedia,random_cnn,dfs,5,0.025120856809299007,0.017418975073929262,4,0,1
classic,dbpedia,random_cnn,ig,5,0.008070656311862368,0.02608609578682693,2,1,2
classic,dbpedia,random_lstm,df,5,0.06841307547840211,0.05613292496543084,5,0,0
classic,dbpedia,random_lstm,dfs,5,0.12070570021826302,0.025572531098322485,5,0,0
classic,dbpedia,random_lstm,ig,5,0.08349895944368305,0.020887852339062443,5,0,0
classic,dbpedia,random_wa,df,5,-0.020135982945028164,0.02131545527549694,1,0,4
classic,dbpedia,random_wa,dfs,5,0.005999898482310528,0.01824905476466118,2,1,2
classic,dbpedia,random_wa,ig,5,-0.0030252271458301562,0.012614995001742303,1,1,3
bert,farm_ads,bert_bilstm_attention,df,5,0.014759887005649674,0.01733039804716652,5,0,0
bert,farm_ads,bert_bilstm_attention,dfs,5,-0.0034347714432460654,0.023597080514927787,2,0,3
bert,farm_ads,bert_bilstm_attention,ig,5,-0.006850282485875714,0.024839742663103116,1,1,3
bert,farm_ads,bert_cls,df,5,-0.019279661016949157,0.02360257775879027,1,1,3
bert,farm_ads,bert_cls,dfs,5,-0.023850796096558803,0.02554446811549434,1,0,4
bert,farm_ads,bert_cls,ig,5,-0.03630585516178737,0.020275745830703493,0,0,5
bert,farm_ads,bert_cnn,df,5,0.011382896764252703,0.04192923301859436,2,0,3
bert,farm_ads,bert_cnn,dfs,5,0.007993066255778114,0.04333659689563433,2,0,3
bert,farm_ads,bert_cnn,ig,5,0.00013482280431431626,0.07888464412917938,3,0,2
bert,farm_ads,bert_mean,df,5,0.013533641499743187,0.05937077110946952,3,0,2
bert,farm_ads,bert_mean,dfs,5,0.0021892655367231396,0.04849170254709207,2,1,2
bert,farm_ads,bert_mean,ig,5,0.01355932203389829,0.03478251846482596,4,0,1
classic,farm_ads,fasttext_cnn,df,5,-0.02498073959938365,0.01952754354214133,0,0,5
classic,farm_ads,fasttext_cnn,dfs,5,-0.009110169491525433,0.0206907716663957,2,0,3
classic,farm_ads,fasttext_cnn,ig,5,-0.028396250642013343,0.015577898726036382,0,0,5
classic,farm_ads,fasttext_lstm,df,5,-0.013623523369286072,0.03907764599856131,2,0,3
classic,farm_ads,fasttext_lstm,dfs,5,0.031766820749871624,0.03349197900257994,4,0,1
classic,farm_ads,fasttext_lstm,ig,5,0.005675398048279412,0.03874483702602477,3,1,1
gcn,farm_ads,fasttext_residual_word_gcn,df,5,0.013565742167437089,0.033630192159210065,3,0,2
gcn,farm_ads,fasttext_residual_word_gcn,dfs,5,0.015812788906009255,0.05182132392297663,2,0,3
gcn,farm_ads,fasttext_residual_word_gcn,ig,5,0.02489727786337954,0.04483863273609463,3,0,2
classic,farm_ads,fasttext_wa,df,5,0.01816255778120184,0.014149612381265076,4,1,0
classic,farm_ads,fasttext_wa,dfs,5,0.010214432460195178,0.024569442975961128,4,0,1
classic,farm_ads,fasttext_wa,ig,5,0.0011363636363636465,0.028238121908611784,2,2,1
classic,farm_ads,random_cnn,df,5,0.011325115562403698,0.03134409038136582,4,0,1
classic,farm_ads,random_cnn,dfs,5,0.020409604519774027,0.024591891817607504,4,0,1
classic,farm_ads,random_cnn,ig,5,-0.004571135079609645,0.03093637293091118,2,0,3
classic,farm_ads,random_lstm,df,5,-0.04196199280945041,0.03038334895456701,1,0,4
classic,farm_ads,random_lstm,dfs,5,0.009116589625064186,0.04335969096308357,2,0,3
classic,farm_ads,random_lstm,ig,5,0.03405880842321522,0.03060506176016745,5,0,0
classic,farm_ads,random_wa,df,5,0.005713918849512112,0.022308220381695013,3,1,1
classic,farm_ads,random_wa,dfs,5,-0.01591551104262967,0.02962689383559008,2,1,2
classic,farm_ads,random_wa,ig,5,-0.006811761684643014,0.021411162196245028,1,0,4
bert,imdb,bert_bilstm_attention,df,5,-0.011999999999999988,0.03074085229787882,1,0,4
bert,imdb,bert_bilstm_attention,dfs,5,-0.038999999999999965,0.042632147494584424,1,0,4
bert,imdb,bert_bilstm_attention,ig,5,-0.02999999999999998,0.02207940216581967,0,0,5
bert,imdb,bert_cls,df,5,-0.03699999999999999,0.022527760652137588,0,0,5
