family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,20ng,random_wa,df,500,5,-0.2510660153559676,0.03231125531671252,0,0,5
classic,20ng,random_wa,df,1000,5,-0.15223074764686373,0.04216737239777621,0,0,5
classic,20ng,random_wa,df,1500,5,-0.11907938167997348,0.041487245365143456,0,0,5
classic,20ng,random_wa,df,2000,5,-0.08881577940463739,0.021852009291910883,0,0,5
classic,20ng,random_wa,dfs,500,5,-0.01716218146570414,0.01374264718473862,0,0,5
classic,20ng,random_wa,dfs,1000,5,-0.01427441777414995,0.04479833175712178,1,1,3
classic,20ng,random_wa,dfs,1500,5,0.010974568272836249,0.0330262832029051,3,1,1
classic,20ng,random_wa,dfs,2000,5,0.028192332219473017,0.02378837636347518,4,1,0
classic,20ng,random_wa,ig,500,5,-0.09762724791470043,0.0507649933415482,0,0,5
classic,20ng,random_wa,ig,1000,5,-0.04940553018901617,0.022322760370705748,0,0,5
classic,20ng,random_wa,ig,1500,5,-0.052471469020228034,0.03411159006977294,0,0,5
classic,20ng,random_wa,ig,2000,5,-0.042298319006198515,0.03346271594462402,0,0,5
classic,amazon_review_full,fasttext_cnn,df,500,5,0.04303999796964623,0.0461936080919963,4,0,1
classic,amazon_review_full,fasttext_cnn,df,1000,5,0.04402487183391707,0.04206666743649156,4,0,1
classic,amazon_review_full,fasttext_cnn,df,1500,5,0.010045276889498,0.030447956227319217,3,0,2
classic,amazon_review_full,fasttext_cnn,df,2000,5,0.01914100807065632,0.043519725171071624,4,0,1
classic,amazon_review_full,fasttext_cnn,dfs,500,5,-0.002878940155322063,0.04495481668636627,3,0,2
classic,amazon_review_full,fasttext_cnn,dfs,1000,5,0.036014770823816065,0.04180200283261145,4,0,1
classic,amazon_review_full,fasttext_cnn,dfs,1500,5,0.02799461956245878,0.0388874910496373,4,0,1
classic,amazon_review_full,fasttext_cnn,dfs,2000,5,0.01394944419065024,0.04357851027089049,3,0,2
classic,amazon_review_full,fasttext_cnn,ig,500,5,0.014034972844018079,0.050074679259495554,3,0,2
classic,amazon_review_full,fasttext_cnn,ig,1000,5,0.030065326633165846,0.04602431333813698,3,1,1
classic,amazon_review_full,fasttext_cnn,ig,1500,5,0.01807563067864576,0.036862396486597074,3,1,1
