family,dataset_id,model,selector,feature_count,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_epoch_mean,best_epoch_std
classic,20ng,random_lstm,dfs,1000,5,0.45875223834910595,0.0154298497932322,0.45009150171645856,0.01033393753711312,0.4523903318903319,0.02098601294534021,51.6,29.347913043349436
classic,20ng,random_lstm,dfs,1500,5,0.4014134122388593,0.03938252636306305,0.38445044591914357,0.03298410369502087,0.3924924242424242,0.03703344201986612,47.2,20.571825392998065
classic,20ng,random_lstm,dfs,2000,5,0.34699311277198175,0.04818116758632044,0.3310332174340906,0.048110084827213406,0.3378124098124098,0.04879162111257855,30.2,6.906518659932803
classic,20ng,random_lstm,dfs,500,5,0.493086498482259,0.031119881042127703,0.48746056342758215,0.03202611017901989,0.48674206349206345,0.028825068121450345,40.0,19.78635893740938
classic,20ng,random_lstm,ig,1000,5,0.21075200877483866,0.03840444411682486,0.1970625307874571,0.037352617965645804,0.204502886002886,0.03731679094297077,34.6,26.14000765110829
classic,20ng,random_lstm,ig,1500,5,0.20865561309083488,0.00704721597724478,0.19570120629216878,0.010178414199263982,0.20195815295815295,0.007800470356797269,44.6,14.859340496805368
classic,20ng,random_lstm,ig,2000,5,0.19465120016325282,0.01959924746995859,0.1843529593998912,0.018201640706886374,0.1861468253968254,0.018215001020548363,42.4,24.714368290530917
classic,20ng,random_lstm,ig,500,5,0.21374713669872203,0.019167241607063224,0.20372472770503128,0.016575783953373897,0.20883008658008656,0.016185913799853704,41.0,10.04987562112089
classic,20ng,random_lstm,none,all,5,0.14408851363416064,0.01942174546604688,0.12956121508700053,0.028835082507366803,0.1379621212121212,0.02119398216180279,15.4,11.414902540100814
classic,20ng,random_wa,df,1000,5,0.43257498150651735,0.03074996689548522,0.4167609347097367,0.03182405956376731,0.42461363636363636,0.03160298512774919,154.0,43.2145808726638
classic,20ng,random_wa,df,1500,5,0.46572634747340763,0.025712441736880722,0.44905722971583784,0.02861627327044564,0.45862806637806636,0.026168676895876753,124.4,32.377461296401854
classic,20ng,random_wa,df,2000,5,0.4959899497487437,0.02569733850911746,0.48012023423343725,0.022400159740883437,0.48991594516594517,0.022539985542255267,135.8,45.24046860942092
classic,20ng,random_wa,df,500,5,0.33373971379741346,0.05179443506556875,0.3107761168316459,0.05552192670981441,0.32355266955266954,0.05003220152746565,123.0,63.229739838148944
classic,20ng,random_wa,dfs,1000,5,0.5705313113792312,0.019015094700184344,0.5637303949955856,0.022951314889244408,0.5664170274170274,0.019688748133837124,69.0,28.310775333784132
classic,20ng,random_wa,dfs,1500,5,0.5957802974262174,0.027909334886023148,0.5918603774903748,0.030854608919136495,0.5921562049062049,0.028387262096255382,81.0,28.661821295933027
